district,latitude,longitude,aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
Dhaka,23.74727,90.637357,0.1537,1.5328,0.06716,0.3363,0.00066,0.4323,0.00295,0.0173,0.0825,1.0,0.0,0.01245,12.092,0.3079,0.000171,0.588,0.1184,0.00292,0.00149,0.00182,0
Dhaka,23.659837,90.419117,0.0957,0.7422,0.02588,0.4234,0.0006,0.4097,0.00405,0.1558,0.6627,0.0,0.0,0.00534,6.444,0.0899,0.000375,2.171,0.4477,0.00126,0.00128,0.00169,0
Dhaka,23.754339,90.297675,0.47,1.2063,0.02767,0.1741,0.00057,0.9069,0.00841,0.3382,0.6994,1.0,0.0,0.00495,10.228,0.1824,0.000178,0.804,0.0787,0.00734,0.00195,0.00134,0
Dhaka,24.003606,90.398107,0.1757,1.2577,0.05342,0.3138,0.00015,0.5986,0.00434,0.0025,0.5341,0.0,0.0,0.02356,3.42,0.1464,0.000202,1.498,0.1383,0.00506,0.00519,0.0011,0
Dhaka,23.961836,90.255285,0.275,1.7431,0.04323,0.3008,0.00069,0.5524,0.00503,0.3531,0.1754,0.0,0.0,0.00518,9.875,0.0798,5.1e-05,2.404,0.2677,0.00318,0.00209,0.00093,0
Dhaka,23.741815,90.647891,0.0876,0.3047,0.00862,0.4714,0.0008,0.3301,0.00399,0.5504,0.8373,1.0,1.0,0.04834,5.894,0.156,0.000148,4.19,0.4174,0.00237,0.005,0.00065,0
Dhaka,23.580388,90.457446,0.0834,1.061,0.01157,0.3341,0.00053,0.5891,0.00722,0.6614,0.1178,0.0,0.0,0.02328,6.274,0.0581,0.000102,0.68,0.0526,0.00457,0.00282,0.0024,0
Dhaka,24.003543,90.551938,0.3773,0.6773,0.02322,0.1538,0.00337,0.2739,0.00178,0.5574,0.9476,1.0,0.0,0.0038,6.929,0.1793,0.000164,3.897,0.4644,0.0025,0.00401,0.00193,0
Dhaka,23.692601,90.283995,0.1124,0.5767,0.03761,0.1394,0.00076,0.7569,0.00633,0.4965,0.533,0.0,0.0,0.02155,7.365,0.1513,0.000631,0.485,0.1306,0.00627,0.00314,0.00144,0
Dhaka,23.644746,90.440401,0.5184,1.277,0.04594,0.0933,0.00117,0.6954,0.00872,0.2124,0.7545,0.0,1.0,0.0027,7.541,0.1558,0.000173,3.136,0.4142,0.00556,0.00321,0.01517,0
Dhaka,24.005003,90.330998,0.5332,1.872,0.02156,0.3096,0.00147,0.6902,0.00294,0.1845,0.3854,0.0,1.0,0.00151,5.053,0.3815,4.7e-05,1.348,0.3091,0.00614,0.00172,0.00171,0
Dhaka,23.923046,90.649926,0.1707,0.0403,0.00792,0.2288,0.0013,0.3547,0.00176,0.2693,1.1296,0.0,0.0,0.00615,6.746,0.0707,0.000207,3.032,0.7244,0.00521,0.00132,0.00261,1
Dhaka,23.737986,90.540923,0.0711,0.8995,0.05705,0.234,0.00076,0.3199,0.01281,0.4261,1.0324,0.0,1.0,0.00297,9.099,0.0,5.8e-05,2.462,0.1037,0.00173,0.00443,0.00151,0
Dhaka,23.573256,90.454888,0.1356,1.2064,0.0438,0.2688,0.00082,0.6889,0.00498,0.3014,0.4232,0.0,0.0,0.00141,8.649,0.3633,0.000176,2.307,0.4799,0.0068,0.00296,0.00099,0
Dhaka,23.701017,90.25072,0.5374,0.8485,0.07273,0.4238,0.00134,0.6785,0.00351,0.5627,0.9916,0.0,0.0,0.0042,8.441,0.2778,0.000109,1.87,0.3648,0.00414,0.00349,0.00125,0
Dhaka,23.875919,90.386223,0.1298,0.9225,0.01789,0.4463,0.0009,0.3479,0.00431,0.3706,0.3524,0.0,0.0,0.01114,1.143,0.2124,7.2e-05,2.244,0.1356,0.00337,0.00305,0.00107,0
Dhaka,23.596382,90.57293,0.7264,1.0597,0.02744,0.4286,0.00055,0.9598,0.00508,0.368,0.5943,1.0,0.0,0.00219,6.928,0.0052,0.000109,1.173,0.3645,0.00224,0.00246,0.00126,0
Dhaka,24.041086,90.349435,0.3323,0.3801,0.06948,0.5177,0.00098,0.3202,0.00416,0.5919,1.246,1.0,0.0,0.00681,4.395,0.1724,7.8e-05,1.192,0.738,0.00258,0.00383,0.00168,0
Dhaka,23.791849,90.338676,0.3307,0.0028,0.02179,0.102,0.00177,0.3202,0.00218,0.7663,0.9538,0.0,0.0,0.03023,6.602,0.1842,8.7e-05,3.238,0.2771,0.00308,0.00105,0.00339,0
Dhaka,23.588188,90.594361,0.3367,1.3896,0.04017,0.4067,0.00043,0.5203,0.00445,0.1751,0.1398,0.0,0.0,0.01109,6.188,0.105,0.000113,2.116,0.6102,0.0088,0.00293,0.00096,0
Dhaka,23.835953,90.442469,0.0546,0.0,0.03278,0.1225,0.00046,0.4833,0.00857,0.0,0.5192,1.0,1.0,0.02014,9.886,0.2145,0.000186,0.62,0.6257,0.00629,0.00525,0.00157,0
Dhaka,23.789568,90.652016,0.4791,1.7824,0.00765,0.1521,0.00064,0.5106,0.00391,0.5008,0.4409,0.0,0.0,0.00318,5.644,0.1867,6.5e-05,0.802,0.1893,0.00254,0.00235,0.00081,0
Dhaka,23.579656,90.561705,0.1408,2.3394,0.02285,0.2587,0.0014,0.8359,0.00282,0.0,0.1454,0.0,0.0,0.00565,6.856,0.1388,0.000194,2.311,0.4153,0.00928,0.00564,0.00129,0
Dhaka,23.613586,90.385706,0.729,1.2631,0.01106,0.3116,0.00297,1.0728,0.00406,0.2277,1.0569,1.0,0.0,0.00284,6.814,0.0853,0.000209,0.617,0.1249,0.00565,0.00148,0.00134,0
Dhaka,23.738048,90.655258,0.1148,0.8497,0.01307,0.3406,0.0006,0.7254,0.00423,0.39,0.5283,1.0,0.0,0.00456,8.252,0.0849,7.3e-05,1.022,0.4002,0.00237,0.00186,0.00237,0
Dhaka,23.845806,90.30199,0.0591,1.2178,0.02354,0.2901,0.00109,0.1611,0.00639,0.1578,0.4044,0.0,0.0,0.007,8.282,0.0,7.2e-05,1.423,0.5013,0.0042,0.00161,0.00119,0
Dhaka,23.940114,90.459819,0.2735,1.2356,0.00554,0.3506,0.00097,0.4022,0.00926,0.3176,0.4537,0.0,0.0,0.00416,2.812,0.1871,0.000112,4.075,0.358,0.00315,0.00302,0.00117,0
